"","Longitude","Latitude"
"375",199.6186539,-52.09403139
"376",199.6184964,-52.09391545
"377",199.6185733,-52.09390174
"378",199.6186693,-52.09392921
"379",199.6187764,-52.09393101
"380",199.618583,-52.09373827
"381",199.6184485,-52.09383836
"382",199.6184544,-52.09380348
"383",199.5520689,-52.03726907
"384",199.5148166,-51.99134973
"385",199.5167302,-52.01170434
"386",199.4463517,-52.01322641
"387",199.4677667,-52.04831698
"388",199.4678279,-52.04806956
"389",199.4749102,-52.0512365
"390",199.4784896,-52.05532993
"391",199.5163691,-52.07542997
"392",199.5188416,-52.0778824
"393",199.5964631,-52.32033667
"394",199.5934019,-52.31383078
"395",199.5673155,-52.28305189
"396",199.5629788,-52.27991115
"397",199.5084068,-52.22908567
"398",199.5307598,-52.21719242
"399",199.5307777,-52.21726843
"400",199.5762893,-52.2040817
"401",199.5711614,-52.1970561
"402",199.5714503,-52.18436556
"403",199.5642761,-52.17284757
"404",199.5642952,-52.17282636
"405",199.5356781,-52.13416308
"406",199.4554531,-52.09044985
"407",199.4457135,-52.09128951
"408",199.4172382,-52.10753326
"409",199.4088272,-52.0772394
"410",199.4135662,-52.07479156
"411",199.4255271,-52.07363988
"412",199.4383806,-52.07941974
"413",199.4489367,-52.08427579
"414",199.645345,-52.35792802
"415",199.6561756,-52.35664078
"416",199.672725,-52.35695789
"417",199.6993362,-52.3671353
"418",199.7356896,-52.34512742
"419",199.7746346,-52.33571894
"420",199.7801722,-52.33568521
"421",199.785156,-52.33571262
"422",199.7853675,-52.32892249
"423",199.8145897,-52.31891132
"424",199.8203509,-52.31950104
"425",199.8365321,-52.31086251
"426",199.4158446,-52.22232842
"429",199.5295681,-52.43444802
"430",199.5289873,-52.43784227
"431",199.528428,-52.44813427
"432",199.5284713,-52.45257398
"433",199.5267157,-52.45506078
"434",199.524004,-52.45918295
"435",199.5233866,-52.4621892
"439",199.6547761,-52.19678281
"440",199.6792955,-52.25009348
"442",199.5276748,-52.43157848
"443",199.5034169,-52.42964216
"444",199.5548549,-52.04618774
"445",199.5445608,-52.07029115
"446",199.6677062,-51.96111258
"447",199.6011889,-51.81514745
"448",199.5806032,-51.77414314
"453",199.6380185,-52.04713843
"454",199.527852,-52.07812614
"455",199.4853563,-52.08151043
"456",199.5161177,-52.17813181
"457",199.7197152,-52.20038099
